hexamethylphosphoramide (HMPA);680-31-9
cis-decalin;493-02-7
chlorobenzene;108-90-7
fluorobenzene;462-06-6
carbon disulfide;75-15-0
perfluoro(methylcyclohexane);827-02-1
iodobenzene;591-50-4
bromobenzene;108-86-1
octadecafluoronaphthalene;607-96-5
trichloroethene;79-01-6
tetrachloroethene;127-18-4
1,2-dichlorobenzene;95-50-1
1,3-dichlorobenzene;541-73-1
1,4-difluorobenzene;540-36-3
hexafluorobenzene;392-56-3
tetramethylsilane;75-76-6
2-methylbutane;78-78-4
1,1,2,2-tetrachloroethane;79-34-5
dibromomethane;74-95-3
1,2-dibromoethane;106-93-4
diiodomethane;75-10-5
1,1,1-trichloroethane;71-55-6
trans-1,2-dichloroethene;156-60-5
1-chlorobutane;109-69-3
pentane;109-66-0
heptane;142-82-5
dodecane;112-40-3
hexane;110-54-3
decane;124-18-5
octane;111-65-9
cyclohexane;110-82-7
4-methyl-2-pentanone;108-10-2
acetophenone;98-86-2
2-heptanone;110-43-0
tribromomethane;75-25-2
2-butanone;78-93-3
2-propanone;67-64-1
1,1-dichloroethane;75-34-3
1,2-diaminoethane;107-15-3
dichloromethane;75-09-2
pyrrolidine;123-75-1
N-formyl-Morpholine;4394-85-8
N-methylaniline;100-61-8
acetonitrile;75-05-8
trichloromethane;67-66-3
nitromethane;75-52-5
2-chloroaniline;95-51-2
aniline;62-53-3
2-methyl-2-butanol;75-85-4
morpholine;110-91-8
diethylamine;109-89-7
2-pyrrolidone;616-45-5
1-ethyl-3-methylimidazolium acetate;143314-17-4
2-methyl-2-propanol;75-65-0
N-methylacetamide;79-16-3
1-ethyl-3-methylimidazolium nitrate;367616-95-5
3-phenylpropanol;122-97-4
1-ethyl-3-methyl-1H-imidazol-3-ium dicyanoazanide;402891-23-4
1-ethyl-3-methyl-1H-imidazol-3-ium perchlorate;208212-92-6
benzyl alcohol;100-51-6
N-methylformamide;123-39-7
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;174899-83-3
1-butyl-3-methyl-1H-imidazol-3-ium trifluoromethanesulfonate;174899-65-7
2-phenylethanol;60-12-8
1-ethyl-3-methyl-1H-imidazol-3-ium octyl sulfate;379651-78-4
1-ethyl-3-methyl-1H-imidazol-3-ium hexyl sulfate;379651-79-5
1-hexyl-3-methyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide;383921-25-5
cyclohexanol;108-93-0
2-butanol;78-92-2
decanol;112-30-1
1-ethyl-3-methylimidazolium tetrafluoroborate;143314-16-3
formamide;75-12-7
2-propanol;67-63-0
1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;174899-82-2
1-ethyl-3-methyl-1H-imidazol-3-ium hexafluorophosphate;155823-26-2
octanol;111-87-5
2-methyl-1-propanol;78-83-1 
hexanol;111-27-3 
propanol;71-23-8 
2-propen-1-ol;107-18-6
pentanol;71-41-0
3-methyl-1-butanol;123-51-3
butanol;71-36-3
ethanol;64-17-5
ethanediol;107-21-1
3-methyl-1-octyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide;610582-84-5
methanol;67-56-1
butanoic acid;107-92-6
acetic acid;64-19-7
propanoic acid;79-09-4
3-methylphenol;108-39-4
water;7732-18-5
pentanoic acid;109-52-4
heptanoic acid;111-14-8
1,2,3-propanetriol;56-81-5
hexanoic acid;142-62-1
formic acid;64-18-6
2-chloroethanol;107-07-3
2,2,2-trifluoroethanol;75-89-8
3-chlorophenol;108-43-0
4-methylphenol;106-44-5
phenol;108-95-2
1,1,1,3,3,3-hexafluoro-2-propanol;920-66-1
```;
